,artist,title,stream_count
3839,mazzy star,seasons of your day,18863491
3840,au revoir simone,move in spectrums,6320456
3841,dustin wong,mediation of ecstatic energy,182353
3844,icona pop,this is icona pop,506603170
3846,girls against boys,the ghost list,114930
3847,ghost wave,ages,206149
3848,ulcerate,vermis,369784
3849,chvrches,the bones of what you believe,304385514
3850,why?,golden tickets,1178169
3851,potty mouth,hell bent,803797
3852,blouse,imperium,2400690
3853,windhand,soma,4305980
3854,nirvana,in utero: 20th anniversary edition,556776666
3855,peter gabriel,and i'll scratch yours,21653768
3856,arp,more,161028
3857,grave miasma,odori sepulcrorum,59710
3858,the internet,feel good,39350844
3859,drake,nothing was the same,1877931881
3860,frankie rose,herein wild,1817669
3861,ariana grande,yours truly,778740824
3862,huerco s.,colonial patterns,813957
3863,fort romeau,stay / true ep,290624
3864,sebadoh,defend yourself,1167258
3866,g-dragon,coup d'etat,71016481
3867,craig leon,nommos,155172
3868,rashad becker,traditional music of notional species vol. i,72977
3869,fka twigs,ep2,30132491
3871,mark lanegan,imitations,3212637
3872,carol kleyn,return of the silkie,0
3873,kyson,the water's way,3101148
3874,holy ghost!,dynamics,14719801
3877,royal bangs,brass,2288874
3878,keep shelly in athens,at home,3755341
3879,bill callahan,dream river,2167394
3880,modern life is war,fever hunting,2382494
3881,crystal stilts,nature noir,3044298
3882,london grammar,if you wait,394885777
3883,celestial shore,10x,164238
3884,mgmt,mgmt,861337913
3885,islands,ski mask,3740405
3886,daedelus,drown out,1417564
3887,clark,feast / beast,3828290
3888,lake,the world is real,473393
3889,factory floor,factory floor,1520217
3890,delorean,apar,3648707
3891,joanna gruesome,weird sister,2551299
3892,balance and composure,the things we think we're missing,25583017
3893,jacuzzi boys,jacuzzi boys,6072620
3894,goldfrapp,tales of us,29539165
3895,willis earl beal,nobody knows,6928892
3896,the 1975,the 1975,462651661
3897,jessy lanza,pull my hair back,9959057
3898,j-zone,peter pan syndrome,387811
3899,arctic monkeys,am,2421319775
3901,grooms,infinity caller,165395
3902,carcass,surgical steel,5741735
3903,terry malts,nobody realizes this is nowhere,223771
3905,body/head,coming apart,282760
3906,man man,on oni pond,22362747
3908,emily reo,olive juice,462211
3909,the weeknd,kiss land,364919074
3910,califone,stitches,1783905
3911,goodie mob,age against the machine,2209355
3913,the stepkids,troubadour,3235053
3915,chelsea wolfe,pain is beauty,13962087
3916,richard youngs,summer through my mind,42710
3919,neko case,"the worse things get, the harder i fight...",16738631
3920,the julie ruin,run fast,3759801
3921,jonathan rado,law and order,616259
3922,coachwhips,hands on the controls,114851
3923,pink frost,sundowning,107133
3924,volcano choir,repave,56908644
3925,king khan and the shrines,idle no more,3206656
3926,roky erickson,the evil one,10847882
3927,richard buckner,surrounded,1038423
3928,vattnet viskar,sky swallower,192670
3929,nine inch nails,hesitation marks,43136457
3930,okkervil river,the silver gymnasium,4779875
3931,john wizards,john wizards,4480426
3932,holograms,forever,1275438
3934,bob dylan,"bootleg series, vol. 10: another self portrait (1969-1971)",18836979
3936,marcos cabral,false memories,4662
3937,golden suits,golden suits,677969
3938,vasaeleth,all uproarious darkness,12068
3939,king krule,6 feet beneath the moon,129025817
3942,modern hut,generic treasure,18098
3943,venom p. stinger,1986-1991,1112
3945,party supplies,tough love,1079298
3946,shigeto,no better time than now,17211205
3947,pity sex,feast of love,6572712
