reviewid,genre,count_of_genre
21946,electronic,3
21941,rock,2
21941,electronic,2
21931,rock,1
21953,rock,1
21987,rock,1
21996,electronic,1
21999,rock,1
21998,rap,1
21978,rock,1
21961,rock,2
21961,electronic,2
21722,rock,1
21952,rock,1
21997,,0
21872,rock,1
21954,rock,1
21986,rock,1
21962,rock,2
21962,electronic,2
21938,electronic,1
21654,metal,1
21871,rock,1
21828,rock,1
21959,rock,2
21959,metal,2
21977,rock,1
21981,rap,1
21904,rap,1
21873,folk/country,1
21960,global,1
21890,,0
21913,rap,1
21932,pop/r&b,1
21942,pop/r&b,1
21937,,0
21921,electronic,1
21916,folk/country,1
21976,rap,1
21915,rock,1
21944,rock,1
21723,electronic,1
21958,electronic,1
21975,rock,1
21957,rap,1
21917,rock,1
21943,rock,1
21910,rock,1
21956,folk/country,1
21891,pop/r&b,1
21718,rock,1
21922,pop/r&b,1
21786,electronic,1
21950,electronic,1
21821,jazz,1
21947,electronic,1
21934,experimental,1
21675,rock,1
21940,rap,1
21933,folk/country,1
21949,global,1
21948,rock,1
21955,rock,1
21536,,0
21936,rock,1
21892,pop/r&b,1
21874,electronic,1
21584,experimental,1
21880,rock,1
21896,rock,1
21923,pop/r&b,1
21929,rock,1
21914,folk/country,1
21939,rock,1
21926,electronic,1
21893,experimental,1
21868,rock,1
21920,electronic,1
21864,folk/country,1
21894,rock,1
21935,rock,1
21721,jazz,1
21673,rock,1
21928,rap,1
21898,rock,1
21875,rock,2
21875,folk/country,2
21771,,0
21725,folk/country,1
21912,electronic,1
21865,pop/r&b,1
21802,pop/r&b,1
21676,rock,1
21887,rock,1
21919,electronic,1
21909,rap,1
21700,rock,1
21911,electronic,1
21869,rock,1
21918,jazz,1
21677,rock,1
21818,metal,1
21784,rock,1
21862,rock,1
21901,rock,1
21858,rap,1
21900,pop/r&b,1
21877,rock,1
21899,pop/r&b,1
21785,electronic,1
21724,rock,1
21908,global,1
21879,rap,2
21879,experimental,2
21876,electronic,1
21820,electronic,1
21859,rock,1
21907,rock,1
21888,rock,1
21678,jazz,1
21878,folk/country,1
21906,pop/r&b,1
21861,folk/country,1
21863,rap,1
21852,rock,1
21782,electronic,1
21783,electronic,1
21855,rap,1
21720,rock,1
21817,jazz,1
21701,rock,4
21701,global,4
21701,experimental,4
21701,electronic,4
21854,,0
21856,rock,1
21905,rock,1
21849,rock,1
21860,,0
21645,metal,1
21857,pop/r&b,2
21857,electronic,2
21819,pop/r&b,2
21819,experimental,2
21794,rock,1
21810,,0
21815,,0
21687,rap,1
21804,electronic,1
21853,,0
21851,rock,1
21848,rock,2
21848,electronic,2
21653,,0
21813,rock,2
21813,electronic,2
21903,rap,1
21816,rock,1
21836,rap,1
21835,,0
21850,pop/r&b,1
21801,experimental,1
21845,rock,2
21845,pop/r&b,2
21842,rock,2
21842,pop/r&b,2
21844,rock,2
21844,pop/r&b,2
21846,rock,2
21846,pop/r&b,2
21841,rock,2
21841,pop/r&b,2
21866,rock,2
21866,pop/r&b,2
21843,rock,2
21843,pop/r&b,2
21847,rock,2
21847,pop/r&b,2
21715,rock,1
21839,rap,1
21637,rap,1
21781,experimental,1
21743,experimental,1
21806,rock,2
21806,experimental,2
21834,electronic,1
21825,rap,1
21867,pop/r&b,1
21826,rap,1
21838,rock,1
21837,rap,1
21833,electronic,1
21797,jazz,1
21762,metal,2
21762,experimental,2
21717,rock,1
21814,rock,2
21814,experimental,2
21694,experimental,1
21799,jazz,1
21840,rap,1
21744,rock,1
21714,rock,1
21696,global,2
21696,electronic,2
21832,metal,1
21827,rock,1
21808,rock,1
21807,experimental,1
21792,rock,1
21695,electronic,1
21709,rap,1
21778,electronic,1
21708,,0
21809,,0
21758,folk/country,1
21791,rock,1
21699,experimental,1
21831,experimental,2
21831,electronic,2
21822,rock,2
21822,experimental,2
21800,rock,1
21733,rock,1
21729,rap,1
21824,rap,1
21681,rock,1
21680,experimental,1
21829,rap,1
21636,folk/country,1
21703,experimental,1
21698,rock,1
21749,rock,2
21749,experimental,2
21697,rock,1
21742,rock,1
21780,electronic,1
21755,metal,1
21688,pop/r&b,1
21812,rap,1
21716,rock,1
21732,metal,2
21732,electronic,2
21547,rock,2
21547,metal,2
21562,experimental,1
21811,rock,1
21770,pop/r&b,1
21752,pop/r&b,1
21769,rock,2
21769,electronic,2
21690,electronic,1
21679,rock,1
21803,pop/r&b,1
21693,,0
21597,rock,1
21748,rock,1
21767,pop/r&b,1
21594,rock,1
21704,rock,1
21635,experimental,1
21796,rap,2
21796,experimental,2
21750,rock,1
21805,pop/r&b,1
21587,rock,1
21775,pop/r&b,1
21766,electronic,1
21751,rock,1
21728,rock,1
21674,jazz,1
21756,pop/r&b,1
21768,rock,2
21768,electronic,2
21596,rock,1
21747,rock,1
21776,rock,1
21628,electronic,1
21627,electronic,1
21576,electronic,1
21633,rock,2
21633,metal,2
21757,rock,2
21757,electronic,2
21765,rock,1
21779,rock,1
21741,rap,1
21626,electronic,1
21777,rock,3
21777,pop/r&b,3
21777,folk/country,3
21790,rap,1
21763,pop/r&b,1
21595,rock,1
21538,,0
21537,,0
21593,rock,1
21789,rap,1
21551,electronic,1
21660,folk/country,1
21710,pop/r&b,2
21710,electronic,2
21764,pop/r&b,1
21754,electronic,1
21788,rap,1
21629,rock,1
21652,electronic,1
21686,rock,1
21761,electronic,1
21740,rap,1
21535,jazz,2
21535,experimental,2
21746,electronic,1
21656,electronic,1
21685,metal,1
21625,electronic,1
21702,electronic,1
21641,experimental,1
21712,rap,1
21759,rock,1
21664,rap,1
21745,folk/country,1
21737,experimental,1
21518,jazz,1
21683,pop/r&b,1
21738,electronic,1
21773,rap,1
21615,pop/r&b,1
21707,rap,1
21550,rock,1
21730,pop/r&b,1
21684,metal,1
21727,rock,1
21647,pop/r&b,1
21672,rock,3
21672,metal,3
21672,experimental,3
21739,rock,1
21614,,0
21617,rap,1
21591,folk/country,2
21591,experimental,2
21646,experimental,2
21646,electronic,2
21692,rock,1
21650,rock,1
21640,metal,1
21590,rock,1
21736,rap,1
21605,rock,1
21670,,0
21753,experimental,1
21588,rock,1
21549,rap,1
21666,rock,1
21632,experimental,1
21606,electronic,1
21509,electronic,1
21631,metal,1
21713,rap,1
21630,rock,1
21616,experimental,1
21731,rock,1
21668,electronic,1
21711,global,2
21711,electronic,2
21658,rock,1
21612,experimental,1
21563,electronic,1
21667,pop/r&b,1
21644,rock,1
21642,rock,1
21691,rock,1
21586,rock,1
21555,electronic,1
21669,electronic,1
21546,rock,1
21655,rock,1
21665,experimental,1
21706,rap,1
21443,rock,1
21651,rock,1
21659,electronic,1
21705,rap,1
21526,rock,1
21643,rap,1
21486,rock,1
21623,rock,1
21527,experimental,1
21603,electronic,1
21415,rock,1
21648,rock,1
21624,experimental,1
21575,jazz,1
21682,electronic,1
21569,experimental,1
21534,experimental,1
21613,rock,1
21561,folk/country,1
21574,rock,1
21622,folk/country,1
21512,electronic,1
21610,metal,1
21558,rock,1
21585,electronic,1
21583,rock,1
21582,rap,1
21661,electronic,1
21663,rock,1
21573,electronic,1
21600,rock,2
21600,rap,2
21408,rock,1
21621,global,2
21621,electronic,2
21510,rock,1
21604,rap,1
21567,rock,1
21611,electronic,1
21639,,0
21504,rap,1
21609,rock,1
21453,rock,1
21572,electronic,1
21570,experimental,1
21412,rock,1
21544,rap,1
21619,rock,1
21435,electronic,1
21657,rap,1
21548,pop/r&b,1
21607,,0
21560,rock,1
21608,rap,1
21620,electronic,1
21439,pop/r&b,1
21602,rap,1
21638,rock,1
21452,rock,1
21559,electronic,1
21601,,0
21470,rock,1
21466,pop/r&b,1
21545,rock,1
21571,electronic,1
21339,rock,3
21339,folk/country,3
21339,metal,3
21557,pop/r&b,1
21523,rock,1
21414,experimental,1
21467,experimental,1
21599,rock,1
21017,experimental,1
21568,pop/r&b,1
21495,rock,1
21508,rock,1
21580,electronic,1
21525,rock,1
21566,rap,1
21533,electronic,1
21564,rock,1
21333,rock,2
21333,experimental,2
21398,global,2
21398,electronic,2
21465,rock,1
21556,global,1
21581,rap,1
21542,rap,1
21543,folk/country,1
21494,electronic,1
21419,experimental,1
21524,rock,1
21565,rap,1
21598,rap,1
21492,rock,1
21531,rock,1
21493,electronic,1
21578,rap,1
21522,rock,1
21532,rap,1
21468,pop/r&b,1
21577,folk/country,1
21410,rock,1
21507,rock,1
21554,rap,1
21529,metal,1
21413,,0
21579,rap,1
21511,rock,1
21530,electronic,1
21463,jazz,1
21521,pop/r&b,1
21514,rock,1
21520,rap,1
21485,rock,1
21515,global,2
21515,folk/country,2
21516,electronic,1
21553,electronic,1
21409,electronic,1
21482,rock,1
21451,rock,1
21539,electronic,1
21287,rap,1
21513,rock,2
21513,electronic,2
21552,electronic,1
21464,electronic,1
21484,rock,1
21499,,0
21502,pop/r&b,1
21541,rap,1
21469,pop/r&b,1
21528,rap,1
21462,rock,1
21506,pop/r&b,1
21483,rock,1
21498,metal,1
21519,electronic,1
21540,pop/r&b,1
21472,rock,1
21517,rap,1
21459,pop/r&b,1
21437,electronic,1
21480,rap,1
21471,rock,1
21450,electronic,1
21382,rock,1
21456,metal,2
21456,experimental,2
21481,pop/r&b,1
21461,folk/country,1
21479,rock,1
21433,rock,1
21489,rock,1
21384,rock,1
21449,rock,1
21335,experimental,1
21383,rock,1
21396,,0
21460,pop/r&b,1
21310,rock,1
21407,experimental,1
21381,,0
21444,rock,1
21497,rock,1
21441,rock,1
21473,folk/country,1
21445,rock,1
21438,rock,1
21487,rock,1
21476,rock,1
21478,rock,1
21477,rock,1
21488,rock,1
21496,rap,1
21442,pop/r&b,1
21448,rap,1
21457,rap,1
21440,rap,1
21475,pop/r&b,1
21380,rock,1
21417,rock,1
21400,rock,1
21458,rock,1
21434,rock,1
21406,rock,2
21406,experimental,2
21490,rap,1
21436,rock,1
21455,folk/country,1
21428,rock,1
21345,jazz,1
21454,rock,1
21420,experimental,1
21431,electronic,1
21402,pop/r&b,1
21403,rap,1
21422,metal,1
21430,pop/r&b,1
21432,metal,1
21397,rap,1
21423,rock,1
21426,rap,1
21347,metal,1
21429,rock,1
21394,,0
21388,rock,1
21421,electronic,1
21395,metal,1
21446,rap,1
21392,rap,1
21391,electronic,1
21418,rock,1
21425,rock,1
21393,rock,1
21387,pop/r&b,1
21399,rock,1
21405,electronic,1
21447,,0
21389,folk/country,1
21353,rock,2
21353,pop/r&b,2
21378,rap,1
21386,rap,1
21330,rock,1
21404,electronic,1
21332,rock,1
