artist,title,neg,neu,pos,compound
lisa/liza,deserts of youth,0.032,0.847,0.121,0.989
wilco,schmilco,0.068,0.769,0.16399999999999998,0.9953
daniel lanois,goodbye to language,0.055,0.826,0.119,0.9929
drugdealer,the end of comedy,0.051,0.8270000000000001,0.122,0.9934
james vincent mcmorrow,we move,0.048,0.7909999999999999,0.161,0.9987
travis scott,birds in the trap sing mcknight,0.08,0.818,0.102,0.9744
p.s. eliot,2007-2011,0.08800000000000001,0.774,0.138,0.9973
carly rae jepsen,emotion side b,0.054000000000000006,0.83,0.116,0.9936
inc. no world,as light as light,0.064,0.779,0.157,0.9966
isaiah rashad,the suns tirade ,0.07200000000000001,0.845,0.083,0.9391
eluvium,false readings on,0.038,0.809,0.153,0.9974
circle,circle 1: live in germany concert,0.031,0.845,0.124,0.9981
bibio,the serious ep,0.07,0.8009999999999999,0.129,0.986
zomby,ultra,0.084,0.764,0.152,0.997
teenage fanclub,here,0.027000000000000003,0.815,0.158,0.9958
clipping.,splendor & misery,0.067,0.7909999999999999,0.142,0.9919
yohuna,patientness,0.059,0.8420000000000001,0.099,0.9819
terry riley,a rainbow in curved air,0.046,0.8190000000000001,0.135,0.9995
de la soul,and the anonymous nobody...,0.077,0.82,0.102,0.9883
mekons,existentialism,0.071,0.807,0.122,0.9852
nots,cosmetic,0.141,0.7759999999999999,0.083,-0.9847
d.a.r.k.,science agrees,0.048,0.879,0.073,0.9404
angel olsen,my woman,0.051,0.8320000000000001,0.117,0.9976
junior boys,kiss me all night ep,0.023,0.872,0.104,0.9869
serpentwithfeet,blisters,0.098,0.76,0.141,0.9861
william basinski,92982,0.02,0.933,0.047,0.9358
young thug,jeffery,0.025,0.8759999999999999,0.099,0.9983
prince,"one nite alone, the aftershow: it ain't over!",0.052000000000000005,0.823,0.125,0.9978
"soundwalk collective, patti smith, jesse paris smith",killer road,0.08199999999999999,0.825,0.093,0.3581
funk factory,funk factory,0.035,0.835,0.13,0.9975
prophets of rage,the party's over ep,0.133,0.768,0.099,-0.9954
the beach boys,becoming the beach boys: the complete hite & dorinda morgan sessions,0.039,0.847,0.115,0.9961
jon hopkins,opalescent,0.044,0.868,0.08800000000000001,0.9895
the dead c,trouble,0.171,0.764,0.065,-0.9966
vince staples,prima donna ,0.071,0.805,0.124,0.9919
crystal castles,amnesty (i),0.059,0.8170000000000001,0.125,0.9953
porches,water ep,0.022,0.871,0.107,0.9927
