artist,title
horna,askel lhempn saatanaa
chelsea light moving,chelsea light moving
sally shapiro,somewhere else
cyclopean,cyclopean ep
"lloyd cole, hans-joachim roedelius","selected studies, vol. 1"
voigt & voigt,die zauberhafte welt der anderen
mogwai,les revenants
kevin gates,the luca brasi story
mozarts sister,hello ep
pvt,homosapien
parenthetical girls,privilege
doldrums,lesser evil
kavinsky,outrun
the mississippi sheiks,the complete recorded works in chronological order volume 1
vietnam,an a.merican d.ream
benjamin damage,heliosphere
autre ne veut,anxiety
prurient,through the window
shout out louds,optica
dan friel,total folklore
destruction unit,void
atoms for peace,amok
mount moriah,miracle temple
curren$y,new jet city
darkthrone,the underground resistance
dog bite,velvet changes
jamie lidell,jamie lidell
matmos,the marriage of true minds
flume,flume
serengeti,saal
black twig pickers,rough carpenters
araabmuzik,for professional use only
portal,vexovoid
waka flocka flame,duflocka rant 2
maxmillion dunbar,house of woo
the howling hex,the best of the howling hex
johnny marr,the messenger
"bonnie prince billy, dawn mccarthy",what the brothers sang
pusha t,wrath of caine
eat skull,iii
feeding people,island universe
autechre,exai
mark kozelek,like rats
inc.,no world
psychic ills,one track mind
dur-dur band,vol. 5
iceage,you're nothing
beach fossils,clash the truth
moon b,moon b
endless boogie,long island
strfkr,miracle mile
nick cave & the bad seeds,push the sky away
screaming females,chalk tape
qluster,lauschen
companion,companion
darwin deez,songs for imaginative people
kool a.d.,19
paul banks,everybody on my dick like they supposed to be
salva,odd furniture ep
spectral park,spectral park
applescal,dreaming in key
various artists,night slugs: allstars volume 2
lisa germano,no elephants
sasha go hard,round 3: the knockout
lady lazarus,all my love in half light
the spinto band,cool cocoon
foals,holy fire
the underachievers,indigoism
veronica falls,waiting for something to happen
clogs,the sundown song
umberto,confrontations
pissed jeans,honeys
ulrich schnauss,a long way to fall
jos james,no beginning no end
k-x-p,ii
cult of luna,vertikal
fleetwood mac,rumours
darkstar,news from nowhere
le1f,fly zone
hayden,us alone
xxxy,got me so ep
frightened rabbit,pedestrian verse
bryan ferry,the jazz age
cakes da killa,the eulogy
jacco gardner,cabinet of curiosities
little wings,last
my bloody valentine,m b v
various artists,stones throw & leaving records: dual form
night beds,country sleep
wraetlic,wraetlic
renny wilson,sugarglider
unknown mortal orchestra,ii
actress,silver cloud ep
the history of apple pie,out of view
chris darrow,artist proof
sonny smith,100 records vol. 3
jim james,regions of light and sound of god
thao & the get down stay down,we the common
tomahawk,oddfellows
guards,in guards we trust
lightning swords of death,baphometic chaosium
grouper,the man who died in his boat
four tet,0181
amateur best,no thrills
vado,slime flu 3
la big vic,cold war
miles davis,"the bootleg series, volume 2: live in europe 1969"
amor de das,the house at sea
indians,somewhere else
adam green & binki shapiro,adam green & binki shapiro
elliphant,elliphant ep
marianne faithfull,broken english: deluxe edition
guided by voices,down by the racetrack ep
alexander spit,a breathtaking trip to that otherside
happy jawbone family band,tastes the broom
pearl necklace,soft opening
ducktails,the flower lane
raekwon,lost jewlry
buke and gase,general dome
il sogno del marinaio,la busta gialla
motor city drum ensemble,send a prayer ep
local natives,hummingbird
tegan and sara,heartthrob
kitty,d.a.i.s.y. rage ep
radar brothers,eight
pillowfight,pillowfight
future,f.b.g.
fidlar,fidlar
nosaj thing,home
cocaine 80s,the flower of life
wimps,repeat
the joy formidable,wolf's law
torres,torres
mice parade,candela
faltydl,hardcourage
boduf songs,burnt up on re-entry
nas,illmatic
the ruby suns,christopher
dawn richard,goldenheart
spaceghostpurrp,b.m.w. ep
ben ufo,fabriclive 67
foxygen,we are the 21st century ambassadors of peace & magic
califone,sometimes good weather follows bad people
ex cops,true hallucinations
bleeding rainbow,yeah right
esben and the witch,wash the sins not only the face
toro y moi,anything in return
mountains,centralia
ra ra riot,beta love
nightlands,oak island
mike shiflet,"the choir, the army"
sbtrkt,live
the traditional fools,the traditional fools
wale,folarin
hilly eye,reasons to live
alasdair roberts & friends,a wonder working stone
new order,lost sirens
camper van beethoven,la costa perdida
widowspeak,almanac
brokeback,brokeback and the black rock
everything everything,arc
j dilla,donuts (45 box set)
california x,california x
free energy,love sign
mouse on tha track,millionaire dreamzzz
dutch uncles,out of touch in the wild
christopher owens,lysandre
retribution gospel choir,3
jeezy,it's tha world
mystical weapons,mystical weapons
arbouretum,coming out of the fog
yo la tengo,fade
parquet courts,light up gold
shugo tokumaru,in focus?
villagers,{awayland}
meyhem lauren,mandatory brunch meetings
oneohtrix point never,rifts
"the congos, sun araw, m. geddes gengras",icon give life
masta killa,selling my soul
ethernet,opus 2
dj nature,return of the savage
stars of the lid,the ballasted orchestra
frankie knuckles,tales from beyond the tone arm
tall firs,out of it and into it 
holopaw,"academy songs, volume i"
l. pierre,the island come true
jawbreaker,bivouac
pantha du prince & the bell laboratory,elements of light
pro era,peep: the aprocalypse
heathered pearls,loyal
kowloon walled city,container ships
t.i.,trouble man: heavy is the head
wooden wand,blood oaths of the new blues
"mats gustafsson, colin stetson",stones
various artists,l.i.e.s. presents: american noise
tall ships,everything touching
various artists,django unchained ost
the heartbreakers,l.a.m.f.: definitive edition
roy montgomery,music from the film hey badfinger
billow observatory,billow observatory
three legged race,persuasive barrier
burial,truant / rough sleeper
florian hecker,chimerization
secret circuit,tropical psychedelics
larry gus,silent congas
various artists,man chest hair
broadcast,berberian sound studio: original motion picture soundtrack
herbert,bodily functions
dawn richard,whiteout ep
king louie,drilluminati
incantation,vanquish in vengeance
a$ap rocky,longlivea$ap
various artists,loosies
alexis taylor,nayim from the halfway line
legowelt,the paranormal soul
theologian,finding comfort in overwhelming negativity
chief keef,finally rich
a-trak,tuna melt ep
starkey,orbits
sigha,living with ghosts
taco leg,taco leg
wiz khalifa,o.n.i.f.c.
katy b,danger ep
rich kidz,straight like that 3
gate,damned revolutions
bell witch,longing
dangelo,voodoo
jk flesh / prurient,worship is the cleansing of the imagination
the game,jesus piece
window twins,wish
dean blunt,the narcissist ii
bjrk,bastards
amy winehouse,at the bbc
lil durk,life ain't no joke
estasy,wild songs
raglani,real colors of the physical world
big boi,vicious lies and dangerous rumors
peaking lights,lucifer in dub
charles mingus,the jazz workshop concerts 196465
container,lp
cold pumas,persistent malaise
captain murphy,duality
jozef van wissem & jim jarmusch,the mystery of heaven
the rosebuds,love deluxe
girls aloud,ten
starred,prison to prison ep
memory tapes,grace/confusion
saint etienne,casino classics
majical cloudz,turns turns turns ep
stubborn heart,stubborn heart
von,satanic blood
the smashing pumpkins,mellon collie and the infinite sadness
sharon van etten,demos
tiga,tiga non stop
roomful of teeth,roomful of teeth
nidingr,greatest of deceivers
interpol,turn on the bright lights: the tenth anniversary edition
alicia keys,girl on fire
wu-block,wu-block
umberto,night has a thousand screams
forgotten tomb,...and don't deliver us from evil
scott walker,bish bosch
charli xcx,super ultra
cut hands,black mamba
tyvek,on triple beams
dragged into sunlight,widowmaker
massive attack,blue lines
"tim hecker, daniel lopatin",instrumental tourist
kylesa,"from the vaults, vol. 1"
the crystal ark,the crystal ark
allah-las,the allah-las
x-tg,desertshore/the final report
french montana,mac & cheese 3
nico muhly,drones
nadja,dagdrm
various artists,hemlock recordings: chapter one
bikini kill,bikini kill ep
bad brains,into the future
boody & le1f,liquid ep
cashmere cat,mirror maru
ex-cult,ex-cult
solange,true
mogwai,a wrenched virile lore
"e-40, too $hort",the history channel
james ferraro,sushi
the people's temple,more for the masses
rihanna,unapologetic
cities aviv,black pleasure
gerry read,jummy
eternal tapestry,a world out of time
downfall of gaia,suffocating in the swarm of crane
dinosaur jr.,chocomel daze (live 1987)
roc marciano,reloaded
ratking,wiki93 ep
raime,quarter turns over a living line
forma,off/on
the velvet underground,the velvet underground & nico 45th anniversary [super deluxe]
holly herndon,movement
heems,wild water kingdom
jessica pratt,jessica pratt
p.o.s.,we don't even live here
william basinski,the disintegration loops
action bronson,rare chandeliers
the evens,the odds
el perro del mar,pale fire
steve hauschildt,sequitur
soundgarden,king animal
mykki blanco,cosmic angel: the illuminati prince/ss
kevin drumm,relief
lust for youth,growing seeds
blank realm,go easy
how to destroy angels_,an omen ep
isis,temporal
the babies,our house on the hill
freeway,diamond in the ruff
lukid,lonely at the top
sufjan stevens,silver & gold
oneida,a list of the burning mountains
school of seven bells,put your sad down ep
davinci,the moena lisa
ital tek,nebula dance
the weeknd,trilogy
mark kozelek,mark kozelek: on tour: a documentary - the soundtrack
ital,dream on
mr. muthafuckin exquire,power and passion
pete swanson,pro style ep
crystal castles,(iii)
guided by voices,the bears for lunch
jessica bailiff,at the down-turned jagged rim of the sky
mad music inc.,mad music
various artists,"work hard, play hard, pray hard: hard time, good time & end time music, 1923-1936"
joni mitchell,the studio albums 1968-1979
prince rama,top 10 hits of the end of the world
graveyard,lights out
dead prez,information age
karriem riggins,alone together
various artists,the man with the iron fists ost
lindstrm,smalhans
halls,ark
pangaea,release
anaal nathrakh,vanitas
clinic,free reign
gucci mane,trap god
vitalic,rave age
viv albertine,the vermilion border
fatima al qadiri,desert strike ep
brian eno,lux
mouse on mars,wow
trop tard,too late (box set)
anna meredith,black prince fury
early graves,red horse
dirty projectors,about to die ep
emeralds,just to feel anything
king dude,burning daylight
outer minds,behind the mirror
bison b.c.,lovelessness
angel haze,classick
the soft moon,zeros
dreamscape,la-di-da recordings
atriarch,ritual of passing
people get ready,people get ready
andrew bird,hands of glory
the coup,sorry to bother you
martha wainwright,come home to mama
tracey thorn,tinsel and lights
vessel,order of noise
mac demarco,2
meek mill,dreams and nightmares
michael mayer,mantasy
egyptian hip hop,good don't sleep
sweet valley,eternal champ
"neil young, crazy horse",psychedelic pill
main attrakionz,bossalinis & fooliyones
prins thomas,prins thomas 2
cody chesnutt,landing on a hundred
grmln,explore
andy stott,luxury problems
neurosis,honor found in decay
matthew friedberger, matricidal sons of bitches
chad valley,young hunger
diamond rings,free dimensional
paul banks,banks
black moth super rainbow,cobra juicy
goat,world music
"oren ambarchi, robin fox",connected
the luyas,animator
...and you will know us by the trail of dead,lost songs
matt & kim,lightning
born gold,little sleepwalker
dark dark dark,who needs who
the secret,agnus dei
titus andronicus,local business
laurie spiegel,the expanding universe
ellie goulding,halcyon
julie doiron,so many days
yakuza,beyul
kendrick lamar,"good kid, m.a.a.d city"
peter buck,peter buck
sinkane,mars
u.s. girls,gem
god seed,i begin
bat for lashes,the haunted man
hercules and love affair,dj-kicks
pig destroyer,book burner
talk normal,sunshine
vatican shadow,ornamented walls
sky ferreira,ghost ep
jason molina,autumn bird songs
prince paul,negroes on ice
times new viking,over & over ep
race horses,furniture
philip glass,rework: philip glass remixed
cee-lo green,cee lo's magic moment
jason lytle,dept. of disappearance
naomi punk,the feeling
zodiac,zodiac ep
pinback,information retrieved
icona pop,the iconic ep
rudi zygadlo,tragicomedies
chelsea wolfe,unknown rooms: a collection of acoustic songs
letting up despite great faults,untogether
daphni,jiaolong
of montreal,daughter of cloud
tamaryn,tender new signs
two fingers,stunt rhythms
earlimart,system preferences
godspeed you! black emperor,allelujah! don't bend! ascend!
ben gibbard,former lives
matmos,the ganzfeld ep
young dro,ralph lauren reefa
car bomb,w^w^^w^w
converge,all we love we leave behind
mellowhype,numbers
sabbath assembly,ye are gods
various artists,i love grime
ladyhawk,no can do
trash talk,119
royal trux,accelerator
fabulous diamonds,commercial music
night moves,colored emotions
shed,the killer
metz,metz
a.c. newman,shut down the streets
paws,cokefloat!
royal-t,rinse presents: royal-t
chrome canyon,elemental themes
ty segall,twins
why?,"mumps, etc."
lord huron,lonesome dreams
weapon,embers and revelations
ricardo donoso,assimilating the shadow
tame impala,lonerism
john cale,shifty adventures in nookie wood
homeboy sandman,first of a living breed
maserati,maserati vii
woo,it's cosy inside
death grips,no love deep web
taken by trees,other worlds
sensations' fix,music is painting in the air
ms mr,candy bar creep show
rangda,formerly extinct
miguel,kaleidoscope dream
freddie gibbs,baby face killa
menace ruine,alight in ashes
young smoke,space zone
seapony,falling
ultrasta,ultrasta
beth orton,sugaring season
sun airway,soft fall
moon duo,circles
sarin smoke,vent
the mountain goats,transcendental youth
muse,the 2nd law
field music,play...
terror danjah,the dark crawler
the hood internet,feat
flying lotus,until the quiet comes
patrick wolf,sundark and riverlight
mark eitzel,don't be a stranger
tilly and the wall,heavy mood
weird weeds,the weird weeds
yoko ono / kim gordon / thurston moore,yokokimthurston
blut aus nord,777: cosmosophy
alt-j,an awesome wave
levek,look a little closer
valgeir sigursson,architecture of loss
lupe fiasco,food & liquor ii: the great american rap album pt. 1
frightened rabbit,state hospital ep
n sensae,sundowning
sera cahoone,deer creek canyon
aluk todolo,occult rock
lightning bolt,oblivion hunter ep
waka flocka flame,salute me or shoot me 4: banned from america
"oneohtrix point never, rene hell",music for reliquary house / in 1980 i was a blue square
chris cohen,overgrown path
juju & jordash,techno primitivism
r.e.m.,document
pet shop boys,elysium
melody's echo chamber,melody's echo chamber
tussle,tempest
robert hood,motor nighttime world 3
dum dum girls,end of daze ep
ricardo villalobos,dependent and happy
mala,mala in cuba
enslaved,riitiir
the soft pack,strapped
dinosaur jr.,i bet on sky
kreayshawn,somethin 'bout kreay
lavender diamond,incorruptible heart
efterklang,piramida
buke and gase,function falls
how to dress well,total loss
iamamiwhoami,kin
the jon spencer blues explosion,meat and bone
ben folds five,the sound of the life of the mind
winterfylleth,the threnody of triumph
band of horses,mirage rock
the gaslamp killer,breakthrough
brother ali,mourning in america and dreaming in color
james iha,look to the sky
sic alps,sic alps
g.o.o.d. music,cruel summer
woods,bend beyond
the sea and cake,runner
gunplay,601 & snort
hooded menace,effigies of evil
grizzly bear,shields
corin tucker band,kill my blues
sun araw,the inner treaty
six organs of admittance,ascent
calexico,algiers
dj shadow,"total breakdown: hidden transmissions from the mpc era, 1992-1996"
holy other,held
neil halstead,palindrome hunches
gaza,no absolutes in human suffering
zs,score: the complete sextet works 2002-2007
bob dylan,tempest
menomena,moms
field report,field report
clark,fantasm planes
turbo fruits,butter
thee oh sees,putrifiers ii
angel olsen,half way home
the raveonettes,observator
the music tapes,mary's voice
john tejada,the predicting machine
"david byrne, st. vincent",love this giant
cult of youth,love will prevail
the helio sequence,negotiations
metronomy,latenighttales
sondre lerche,bootlegs
the xx,coexist
lil wayne,dedication 4
mono,for my parents
the avett brothers,the carpenter
the vaccines,come of age
jens lekman,i know what love isn't
patterson hood,heat lightning rumbles in the distance
teengirl fantasy,tracer
lv,sebenza
mark fell,sentielle objectif actualite
mount eerie,ocean roar
bob mould,silver age
mndr,feed me diamonds
ryan hemsworth,last words
teen,in limbo
cat power,sun
a$ap mob,lords never worry
the fresh & onlys,long slow dance
lace curtains,the garden of joy and the well of loneliness
maria minerva,will happiness find me?
animal collective,centipede hz
deerhoof,breakup song
stars,the north
the orb,the orbserver in the star house
two gallants,the bloom and the blight
andrew w.k.,i get wet
xxl,dde
django django,django django
serpentine path,serpentine path
nihill,verdonkermaan
dan deacon,america
r. stevie moore,lo fi high fives... a kind of best of...
blu & exile,give me my flowers while i can still smell them
meyhem lauren,respect the fly shit
oren ambarchi,sagittarian domain
four tet,pink
jj doom,key to the kuffs
ombre,believe you me
delicate steve,positive force
harry pussy,one plus one
wild nothing,nocturne
matthew dear,beams
krallice,years past matter
2 chainz,based on a t.r.u. story
stagnant pools,temporary room
swans,the seer
divine fits,a thing called divine fits
beanie sigel,this time
nathan fake,steam days
poor moon,poor moon
ariel pink's haunted graffiti,mature themes
bill fay,life is people
the black swans,occasion for song
carol kleyn,takin' the time
spector,enjoy it while it lasts
blur,parklive
redd kross,researching the blues
opossom,electric hawaii
xibalba,hasta la muerte
shintaro sakamoto,how to live with a phantom
jessie ware,devotion
ride,going blank again
mungolian jet set,mungodelics
dabke,sounds of the syrian houran
matthew e. white,big inner
yeasayer,fragrant world
the darkness,hot cakes
ice choir,afar
guardian alien,see the world given to a one love entity
swearin,swearin'
bloc party,four
blackalicious,melodica
lil b,obama basedgod
cid rim,cid rim
ash borer,cold of ages
various artists,just tell me that you want me: tribute to fleetwood mac
archers of loaf,all the nations airports
spider bags,shake my head
jukebox the ghost,safe travels
lorelei,enterprising sidewalks
roxy music,the complete studio records 1972-1982
alice cohen,pink keys
nina sky,nicole and natalie
oneman,fabriclive 64
janka nabay and the bubu gang,en yay sah
dead can dance,anastasis
niki and the dove,instinct
jeremiah jae,raw money raps
the locust,molecular genetics from the gold standard labs
dignan porch,nothing bad will ever happen
"david lynch, alan splet",eraserhead
nude beach,ii
the 1975,facedown ep
willits + sakamoto,ancient future
hour of 13,333
"domo genesis, the alchemist",no idols
why?,sod in the seed
wishmountain,tesco
samara lubelski,wavelength
the howling wind,of babalon
nick cave & the bad seeds,nocturama
bonnie prince billy,now here's my plan ep
seams,tourist/sleeper
husky,forever so
three mile pilot,maps ep
antony and the johnsons,cut the world
sweet valley,stay calm
young thug,i came from nothing 3
jhann jhannsson,copenhagen dreams
apache dropout,bubblegum graveyard
the books,a dot in time
fennesz,aun
fergus & geronimo,funky was the state of affairs
troy ave,bricks in my backpack 3
bonde do rol,tropicalbacanal
nachtmystium,silencing machine
antibalas,antibalas
the field,looping state of mind remixe ep
various artists,air texture vol. ii
sir richard bishop,intermezzo
paul simon,graceland: 25th anniversary edition
king l,showtime
holograms,holograms
glacial,on jones beach
evoken,atra mors
blur,blur 21
serengeti,c.a.r.
mm,early birds
samothrace,reverence to stone
pierre schaeffer,le tridre fertile
rick ross,"god forgives, i don't"
sugar,copper blue
sasha go hard,do you know who i am?
white lung,sorry
lost sounds,"lost lost: demos, sounds, alternate takes & unused songs 1999-2004"
gza,liquid swords: chess box deluxe edition
cooly g,playin' me
om,advaitic songs
idjut boys,cellar door
konx-om-pax,regional surrealism
the antlers,undersea
angel haze,reservation ep
the gaslight anthem,handwritten
jimmy cliff,rebirth
blanck mass,white math / polymorph
tnght,tnght ep
micachu and the shapes,never
eternal summers,correct behavior
gary war,jared's lot
ihsahn,eremita
purity ring,shrines
fang island,major
laetitia sadier,silencio
taragana pyjarama,tipped bowls
com truise,in decay
passion pit,gossamer
azealia banks,fantasea
foxygen,take the kids off broadway
luke haines,outsider/in: the collection
various artists,country funk 1969-1975
nas,life is good
john maus,a collection of rarities and previously unreleased material
family band,grace & lies
gatekeeper,exo
icky blossoms,icky blossoms
the smashing pumpkins,pisces iscariot
the very best,mtmtmk
erika spring,erika spring ep
poolside,pacific standard time
various artists,strange passion: explorations in irish post punk 1980-83
baroness,yellow & green
woody guthrie,woody at 100: the woody guthrie centennial collection
jeff the brotherhood,hypnotic nights
ikonika,i make lists ep
van she,idea of happiness
frank ocean,channel orange
merchandise,children of desire
lil reese,don't like
blanche blanche blanche,wink with both eyes
agalloch,faustian echoes ep
mission of burma,unsound
big k.r.i.t.,live from the underground
deathspell omega,drought ep
various artists,russian roulette
tom findlay,latenighttales presents music for pleasure
aesop rock,skelethon
digitalism,dj-kicks
debo band,debo band
dusted,total dust
arrange,new memory
dirty projectors,swing lo magellan
paul banks,julian plenti lives... ep
deep time,deep time
everything but the girl,eden
the memories,the memories
twin shadow,confess
nguzunguzu,warm pulse ep
jeans wilder,totally
various artists,this ain't chicago: the underground sound of uk house and acid 1987-1991
supreme cuts,whispers in the dark
jj,high summer ep
van dyke parks,song cycle
foals,tapes
various artists,rebirth of detroit
bosse-de-nage,iii
r. kelly,write me back
various artists,mmg presents: self made 2
the amazing,gentle stream
a lull,meat mountain ep
milk maid,mostly no
beachwood sparks,the tarnished gold
donnie & joe emerson,dreamin' wild
richard hawley,standing at the sky's edge
port st. willow,holiday
kotki dwa,staycations
codeine,frigid stars
pop etc,pop etc
sonny and the sunsets,longtime companion
gojira,l'enfant sauvage
wymond miles,under the pale moon
guided by voices,class clown spots a ufo
kitty pryde,haha i'm sorry ep
totally enormous extinct dinosaurs,trouble
old man gloom,no
ides of gemini,constantinople
diiv,oshin
joey bada$$,1999
physical therapy,safety net ep
modeselektor,modeselektion vol. 02
the intelligence,everybody's got it easy but me
ty segall band,slaughterhouse
a place to bury strangers,worship
the cinematic orchestra,in motion #1
father yod and the source family,the thought adjusters
the hundred in the hands,red night
bon iver,itunes session
blues control,valley tangents
echo lake,wild peace
process of guilt,fmin
onra,deep in the night ep
silver jews,early times
maximo park,the national health
shackleton,music for the quiet hour
polysick,digital native
zulu winter,language
usher,looking 4 myself
"the thing, neneh cherry",the cherry thing
oneohtrix point never,dog in the fog ep
dz deathrays,bloodstreams
the db's,falling off the sky
the smashing pumpkins,oceania
peaking lights,lucifer
piano magic,life has not finished with me yet
magic trick,ruler of the night
kelly hogan,i like to keep myself in pain
fiona apple,the idler wheel is wiser than the driver of the screw and whipping cords will serve you more than ropes will ever do
can,the lost tapes
lower,walk on heads ep
keith fullerton whitman,occlusions
royal thunder,cvi
diplo,express yourself ep
eric copeland,limbo
sbastien tellier,my god is blue
2:54,2:54
catcall,the warmest place
bobby womack,the bravest man in the universe
clams casino,instrumental tape 2
no joy,negaverse
dawnbringer,into the lair of the sun god
friends,manifest!
spaceghostpurrp,mysterious phonk: the chronicles of spaceghostpurrp
dexys,one day i'm going to soar
tomas barfod,salton sea
jherek bischoff,composed
witch mountain,cauldron of the wild
waka flocka flame,"triple f life: friends, fans & family"
the tallest man on earth,there's no leaving now
melvins,freak puke
"arthur russell, peter zummo",zummo with an x
jaill,traps
hot chip,in our heads
metric,synthetica
dent may,do things
bullion,love me oh please love me ep
ursprung,ursprung
azealia banks,1991 ep
burzum,umskiptar
captain beefheart,bat chain puller
the young,dub egg
smoke fairies,blood speaks
laurel halo,quarantine
the hives,lex hives
ryan monroe,a painting of a painting on fire
cadence weapon,hope in dirt city
mystery jets,radlands
patti smith,banga
curren$y,the stoned immaculate
crocodiles,endless flowers
dntel,aimlessness
d'eon,lp
beak>,>>
ab-soul,control system
pauline oliveros,reverberations: tape & electronic music 1961-1970
teen daze,"all of us, together"
mina tindle,taranta
liars,wixiw
gossip,a joyful noise
oddisee,odd renditions vol. 001 ep
saint vitus,lillie: f-65
airbird,trust ep
"neil young, crazy horse",americana
sun kil moon,among the leaves
the wake,here comes everybody
david banner,"sex, drugs & video games"
aldebaran,embracing the lightless depths
health,max payne 3 ost
marissa nadler,the sister
drexciya,journey of the deep sea dweller ii
the mynabirds,generals
mike shiflet,merciless
sigur rs,valtari
public image ltd,this is pil
regina spektor,what we saw from the cheap seats
edward sharpe & the magnetic zeros,here
tu fawning,a monument
japandroids,celebration rock
lemonade,diver
scissor sisters,magic hour
king tuff,king tuff
plankton wat,spirits
the walkmen,heaven
future of the left,the plot against common sense
talwst,alien tentacle sex ep
slugabed,time team
jam city,classical curves
"paul mccartney, linda mccartney",ram
mutilation rites,empyrean
exitmusic,passage
advance base,a shut-in's prayer
reptar,body faucet
saint etienne,words and music by saint etienne
rye rye,go! pop! bang!
spacin',deep thuds
the trypes,music for neighbors
"hauschka, hilary hahn",silfra
mount eerie,clear moon
andrew weatherall,masterpiece
grass widow,internal logic
simian mobile disco,unpatterns
choir of young believers,rhine gold
el-p,cancer for cure
dope body,natural history
baio,sunburn ep
jimmy edgar,majenta
pinkish black,pinkish black
squarepusher,ufabulum
abba,the visitors [deluxe edition]
meek mill,dreamchasers 2
rsenkpf,rsenkpf
distal,civilization
garbage,not your kind of people
the pharcyde,bizarre ride ii the pharcyde: the singles collection music box
lungfish,a.c.r. 1999
ethel,heavy
k-holes,dismania
best coast,the only place
medicine,shot forth self living [expanded edition]
violens,true
one little plane,into the trees
me,live
killer mike,r.a.p. music
silversun pickups,neck of the woods
sidi tour,kima
ktl,v
moe tucker,i feel so far away: anthology 1974-1998
beach house,bloom
father john misty,fear fun
motion sickness of time travel,motion sickness of time travel
ramona falls,prophet
roomrunner,super vague ep
my bloody valentine,isn't anything
royal headache,royal headache
"geoff barrow, ben salisbury",drokk: music inspired by mega-city one
craft spells,gallery ep
"david daniell, douglas mccombs",versions
off!,off!
sleep,dopesmoker
here we go magic,a different ship
acephalix,deathless master
white fence,family perfume vol. 1
lone,galaxy garden
moss icon,complete discography
the electronic anthology project,the electronic anthology project of dinosaur jr.
jk flesh,posthuman
felix,oh holy molar
swans,we rose from your bed with the sun in our head
cornershop,urban turban
ps i love you,death dreams
s. carey,hoyas ep
lazer sword,memory
damon albarn,dr dee
girl unit,club rez ep
the cribs,in the belly of the brazen bull
horseback,half blood
dave aju,heirlooms
"ty segall, white fence",hair
electric guest,mondo
lee hazlewood,"the lhi years: nudes, singles & backsides (1968-1971)"
marina and the diamonds,electra heart
led er est,the diver
kindness,"world, you need a change of mind"
cfcf,exercises ep
fela kuti,live in detroit 1986
filastine,loot
wolfbrigade,damned
santigold,master of my make-believe
the brian jonestown massacre,aufheben
yellow ostrich,strange land
miguel,"art dealer chic, vols. 1-3"
the primitives,echoes and rhymes
lower dens,nootropics
cleaners from venus,reissues
dean blunt and inga copeland,black is beautiful
cold specks,i predict a graceful expulsion
gravenhurst,the ghost in daylight
bright eyes,fevers and mirrors [vinyl reissue]
kwes,meantime ep
light asylum,light asylum
le1f,dark york
trouble books,concatenating fields
"billy bragg, wilco",mermaid avenue: the complete sessions
kool a.d.,51
future,pluto
miles kane,first of my kind ep
mohn,mohn
actress,r.i.p.
alunageorge,you know you like it ep
hiss golden messenger,poor moon
secrets of the moon,seven bells
nuojuva,valot kaukaa
daughn gibson,all hell
screaming females,ugly
black breath,sentenced to life
horse feathers,cynic's new year
dylan ettinger,lifetime of romance
death grips,the money store
toro y moi,june 2009
brendan benson,what kind of world
struck by lightning,true predation
volcano the bear,golden rhythm/ink music
jack white,blunderbuss
torche,harmonicraft
suckers,candy salad
the dandy warhols,this machine
traxman,da mind of traxman
the flaming lips,the flaming lips and heady fwends
opeth,blackwater park [legacy edition]
xxxy,everything ep
james blackshaw,"love is the plan, the plan is death"
diamond rugs,diamond rugs
rustie,essential mix
stalley,savage journey to the american dream
grinderman,2 rmx
anhedonist,netherwards
"amps for christ, woods",woods / amps for christ
"the congos, sun araw, m. geddes gengras",icon give thank
rufus wainwright,out of the game
e-40,"the block brochure: welcome to the soil 1, 2, & 3"
lissy trullie,lissy trullie
dog shredder,brass tactics ep
battles,dross glop
la sera,sees the light
allo darlin',europe
molly nilsson,history
young prisms,in between
spiritualized,sweet heart sweet light
"moonface, siinai",with siinai: heartbreaking bravery
king felix,spring ep
boldy james,"consignment: favor for a favor, the redi-rock mixtape"
lushlife,plateau vision
black dice,mr. impossible
elite gymnastics,ruin 3
grouper,violet replacement
dawn richard,armor on ep
120 days,120 days ii
florence and the machine,mtv unplugged
chief keef,back from the dead
vijay iyer trio,accelerando
conan,monnos
oberhofer,time capsules ii
quakers,quakers
split cranium,split cranium
circle of ouroborus,the lost entrance of the just
sandy bull & the rhythm ace,live 1976
big baby gandhi,no1 2 look up 2
m. ward,a wasteland companion
grand duchy,let the people speak
fat trel,nightmare on e street
chains of love,strange grey days
mac demarco,rock and roll night club ep
alabama shakes,boys & girls
ooooo,our love is hurting us ep
various artists,"harmony, melody and style: lovers rock and rare groove in the uk"
inverloch,dusk | subside
magic bullets,much ado about ep
nicki minaj,pink friday: roman reloaded
high on fire,de vermis mysteriis
rusko,songs
janka nabay and the bubu gang,an letah
addison groove,transistor rhythm
graham coxon,a+e
bear in heaven,"i love you, it's cool"
clark,iradelphic
vattnet viskar,vattnet viskar
ryan power,i don't want to die
orbital,wonky
firehose,lowflows: the columbia anthology ('91-'93)
anas mitchell,young man in america
great lake swimmers,new wild everywhere
breton,other peoples problems
chromatics,kill for love
black mountain,year zero ost
robert pollard,mouseman cloud
prodigy,h.n.i.c. 3
dr. john,locked down
lotus plaza,spooky action at a distance
willis earl beal,acousmatic sorcery
au,both lights
lightships,lightships
colleen green,milo goes to compton
zammuto,zammuto
hundred waters,hundred waters
miike snow,happy to you
worm ouroboros,come the thaw
ka,grief pedigree
belle and sebastian,"latenighttales, vol. 2"
wiz khalifa,taylor allderdice
theesatisfaction,awe naturale
